Depth,Corrected porosity,Magnetic Number,TOC,Quartz,Calcite,Dolomite,Illite,Smectite,Kaolinite,Chlorite,Pyrite,Orthoclase Feldspar,Oglioclase Feldspar,Mixed Clays,Albite,Anhydrite,Siderite,Apatite,Aragonite
6587,4.48,6,3.89,23.6,12.3,0,18.1,4.1,0,2.2,0,0,0,0,10.6,0,3,26.1,0
6589,5.22,7,4.69,33.7,0.7,0,29.6,0,0,0,0,0,1.5,11.7,11.9,0,4.8,6,0
6591.4,4.4,6.5,2.64,23.2,2.4,33.1,15.5,0,0,0,0,0,0.6,8.8,8.9,0,5.7,1.9,0
6593,5.34,5.5,4,33,3.1,3.3,25.7,0,0,2,0,0,0,4.1,12.5,0,2.7,13.7,0
6594.6,5.54,5,3.71,40.9,2.8,1.7,21.3,0,0,0.9,0,0,2.2,14.9,7.6,0.7,5.2,1.4,0.3
6596.05,7.02,10.7,3.38,38,0,4.2,14.7,3.9,0,2.2,0,0,0,0,5.8,0,3.7,27.4,0
6598.1,6.71,7.5,4.11,51.4,0,0,28.2,0,0,0,0,0,0,9.4,4.1,0.7,4.8,0,1.3
6600,5.91,0,5.3,50.3,0,0.2,20.6,0,0,0.6,0,0,0,8.7,9,0,4.5,4.7,1.3
6601.4,6.08,10.5,4.5,59.2,0,4.7,17.4,0,0,0,0,0,0.2,0,5.2,0,7,5.3,1
6604,4.1,0,1.79,9.3,6.3,41.2,14.2,0,0,0,0,0,2,8.9,7.8,0,9.2,1.2,0
6606,4.74,0,3.79,26,0,0,35.6,0,0,0,1.9,1.2,0,21.8,10.4,0,3.1,0,0
6608.7,6,0,4.06,43.8,0,0,26,0,0,0,2.4,0,1,16.9,5.9,0.1,3.5,0,0.5
6611,3.4,9,3.66,38.6,0,0,25.3,0,0,0,2.9,0,0,21,6,0,4.5,1.5,0.2
6613.2,5.1,8,2.82,9.7,2.8,4.5,34,0,0,0,42.5,0,3.3,0,2.1,0,0,1,0
6615.1,4.39,6.5,3.72,37,0,1.7,26.6,0,0,0,2.4,0,0.8,15.4,8.9,0,6.2,1.1,0
6617,4.8,6,4.61,35,0,0,26.7,0,0,0,2,0,0,23,7.9,0,4,1,0.5
6619,3.54,4,5.35,34.5,8.7,5.3,18.8,0,0,0,3.1,0,0.2,0,8,0,9.7,11.6,0
6621,3.22,7,4.27,34.1,0,0,27.6,0,0,0,1.3,0,0,8.3,10.9,0,2.8,15.1,0
6623.2,4.98,6.5,4,26.5,0,0,29.2,0,0,0,3.2,0,0.3,24.9,8,0,5,2.9,0
6627.5,4.06,6,6.23,30.4,0,0,21.3,0,0,0.8,0,0,0,24,10.5,0,4.5,8.5,0
6629.3,4.4,7.5,4.64,34,0,0,31.6,0,0,0,1.5,0.2,0,20.1,7.7,0,4.5,0,0.3
6631.1,3.97,4,5.41,33.6,0,0,26.5,0,0,0,2.5,0,0,23,7.5,0,5.7,0.5,0.8
6633.3,3.17,10,1.98,19.1,44,11.7,7.3,0,0,0.4,7.5,0,0,0,2.6,0,7,0.5,0
6635.2,4.63,5.5,4.62,35.7,0,0,23.1,0,0,0,2.4,0,0,25.5,7.9,0,5.5,0,0
6637.1,4.73,6,5.55,39.5,0,0,23.6,0,0,0,2.8,0,0.3,19.3,7.7,0,4.5,2,0.3
6639.8,4.23,8.5,3.43,36.1,0,1.9,26.8,0,0,0,4.2,0,1.6,14.9,6.6,0,6.7,1.2,0
6641.7,8.05,7,3.48,26.5,0,0,22.5,0,0,0,5.3,0,3.1,30.4,7.3,0,4.9,0,0
6643.9,4.64,6.5,4.85,23.7,0,0,35.1,0,0,0,5,0,0,14.2,13.9,0,2.3,5.8,0
6645.9,5.04,7.5,4.94,28.5,0,0,35.4,0,0,0,1.4,0.8,1.4,21,7.4,0,4.1,0,0
6647.8,4.47,5.7,4.99,28.2,0,0,36.2,0,0,0,0.6,0,0,20.3,8.6,0,5,1.1,0
6650,4.61,6,5.09,28.1,0,0,39.1,0,0,0,3.3,0,0.6,18.6,6.5,0,3.7,0,0
6652,4.01,9.5,4.92,33.2,0,0,40,0,0,0,2.1,0,1.7,8.7,6.1,0,5.2,2.9,0
6654,3.77,8,4.42,33.2,0,0.3,33,0,0,0.1,4.4,0,1.3,19.4,3.2,0.1,4.8,0,0
