Well ori,Well,DEPTH,PEF,RHOB,NPHI,GR,AT90
4.21E+11,1,7663,3.8594,2.6226,0.2249,133.8798,13.0755
4.21E+11,1,7663.5,3.8842,2.6116,0.2195,133.6587,11.6433
4.21E+11,1,7664,3.8744,2.6076,0.2154,132.4799,10.4641
4.21E+11,1,7664.5,3.8888,2.6076,0.2173,130.9984,9.1186
4.21E+11,1,7665,3.9971,2.6212,0.2056,126.0258,8.9794
4.21E+11,1,7665.5,4.2102,2.6442,0.1749,115.1271,9.8573
4.21E+11,1,7666,4.3756,2.676,0.1445,103.174,13.1889
4.21E+11,1,7667,4.252,2.6897,0.14,101.0874,9.521
4.21E+11,1,7667.5,4.1073,2.6628,0.1594,109.884,7.2779
4.21E+11,1,7668,4.0212,2.6326,0.184,120.0074,5.8857
4.21E+11,1,7668.5,3.9392,2.6239,0.1994,126.8826,5.468
4.21E+11,1,7669,3.8695,2.6259,0.203,130.2844,5.3465
4.21E+11,1,7669.5,3.8187,2.6313,0.2124,128.9144,5.4112
4.21E+11,1,7670,3.8292,2.6244,0.2087,128.4924,5.4491
4.21E+11,1,7670.5,3.8495,2.6151,0.2178,126.5512,5.3786
4.21E+11,1,7671,3.8485,2.6057,0.2108,127.1665,5.3053
4.21E+11,1,7671.5,3.8206,2.607,0.2115,126.2744,5.4352
4.21E+11,1,7672,3.7988,2.6158,0.2052,124.3687,5.6557
4.21E+11,1,7672.5,3.7713,2.6275,0.1996,120.6083,5.8961
4.21E+11,1,7673,3.8042,2.6241,0.1929,118.4299,6.1441
4.21E+11,1,7673.5,3.942,2.6112,0.202,121.014,5.8668
4.21E+11,1,7674,4.2045,2.6059,0.2126,120.6572,5.5657
4.21E+11,1,7674.5,4.4805,2.6151,0.2141,116.8078,6.1159
4.21E+11,1,7675,4.667,2.6419,0.1707,106.0657,8.2365
4.21E+11,1,7699.5,4.1037,2.6464,0.1475,100.5807,10.1161
4.21E+11,1,7712,4.1661,2.6323,0.1594,100.2666,10.1558
4.21E+11,1,7712.5,4.1297,2.6382,0.1639,101.1274,10.0042
4.21E+11,1,7713,4.0896,2.6413,0.166,102.9493,9.7812
4.21E+11,1,7713.5,4.0385,2.6414,0.1672,104.9341,9.4393
4.21E+11,1,7714,3.9871,2.6397,0.1637,106.3093,9.145
4.21E+11,1,7714.5,3.953,2.6371,0.1677,106.3564,8.8403
4.21E+11,1,7715,3.9326,2.6356,0.168,104.9509,8.5177
4.21E+11,1,7715.5,3.9712,2.6248,0.1735,104.3821,8.2187
4.21E+11,1,7716,3.9976,2.6175,0.1719,103.9958,7.9444
4.21E+11,1,7716.5,4.0019,2.6094,0.1729,107.3071,7.9925
4.21E+11,1,7717,3.9516,2.6052,0.1747,110.1122,8.0171
4.21E+11,1,7717.5,3.9167,2.5866,0.1755,114.2864,7.771
4.21E+11,1,7718,4.0131,2.5896,0.1769,117.7794,7.4932
4.21E+11,1,7718.5,4.2966,2.6161,0.1813,121.9496,7.8318
4.21E+11,1,7719,4.6287,2.6626,0.1609,118.8614,10.0535
4.21E+11,1,7719.5,4.7993,2.7069,0.1148,104.5374,19.2748
4.21E+11,1,7729,3.5527,2.6093,0.1073,112.3918,28.571
4.21E+11,1,7729.5,3.4206,2.561,0.1423,138.4884,22.2215
4.21E+11,1,7730,3.2469,2.4908,0.1944,162.5784,22.277
4.21E+11,1,7730.5,3.0494,2.4323,0.2222,174.9595,29.1819
4.21E+11,1,7736,3.3507,2.4679,0.2126,199.1711,14.3486
4.21E+11,1,7736.5,3.3944,2.4894,0.2017,166.5961,13.1678
4.21E+11,1,7737,3.3768,2.5161,0.1949,148.1219,13.1681
4.21E+11,1,7737.5,3.3326,2.5294,0.2009,134.2125,13.1023
4.21E+11,1,7738,3.3082,2.5167,0.2046,131.68,11.9308
4.21E+11,1,7738.5,3.476,2.4439,0.2094,138.9122,10.2606
4.21E+11,1,7739,3.7956,2.3864,0.2215,147.891,9.1889
4.21E+11,1,7739.5,4.1017,2.3384,0.2534,153.353,8.444
4.21E+11,1,7740,4.0118,2.3678,0.2578,150.7676,8.0524
4.21E+11,1,7740.5,3.5881,2.4084,0.2419,150.3267,8.9982
4.21E+11,1,7741,3.1577,2.4556,0.22,150.4217,9.9693
4.21E+11,1,7741.5,2.985,2.4716,0.2218,152.9314,9.7424
4.21E+11,1,7742,3.1556,2.4471,0.2364,154.7858,9.2671
4.21E+11,1,7742.5,3.634,2.3507,0.2455,156.3028,8.9242
4.21E+11,1,7743,4.4082,2.2651,0.2623,153.4474,8.5216
4.21E+11,1,7743.5,4.9303,2.2155,0.2924,146.5166,7.1907
4.21E+11,1,7744,4.8842,2.3103,0.2718,142.6445,6.9268
4.21E+11,1,7744.5,4.5029,2.3894,0.2371,144.1917,11.3779
4.21E+11,1,7745,4.34,2.4679,0.1975,142.2849,20.912
4.21E+11,1,7745.5,4.4558,2.4769,0.1826,133.3535,21.7383
4.21E+11,1,7746,4.4383,2.5024,0.1642,123.8843,18.6498
4.21E+11,1,7746.5,4.1865,2.5474,0.1609,114.3973,21.6458
4.21E+11,1,7748.5,3.7348,2.6276,0.1368,107.0599,23.5875
4.21E+11,1,7749,3.5038,2.5485,0.17,126.7148,16.142
4.21E+11,1,7749.5,3.3676,2.5162,0.1981,136.4066,13.6817
4.21E+11,1,7750,3.2641,2.5031,0.2041,144.3756,14.0401
4.21E+11,1,7750.5,3.1613,2.498,0.1997,149.2593,13.6784
4.21E+11,1,7751,3.1135,2.4892,0.2029,153.5305,13.1473
4.21E+11,1,7751.5,3.0835,2.4895,0.2043,154.3976,13.7917
4.21E+11,1,7752,3.0705,2.48,0.204,152.395,15.5493
4.21E+11,1,7752.5,3.047,2.4696,0.2036,148.7551,17.8513
4.21E+11,1,7753,3.028,2.4593,0.199,140.629,20.5274
4.21E+11,1,7753.5,3.0381,2.446,0.1942,135.9621,20.662
4.21E+11,1,7754,3.0608,2.4304,0.1933,134.9279,18.0792
4.21E+11,1,7754.5,3.0684,2.4295,0.1938,137.5923,18.5248
4.21E+11,1,7755,3.0934,2.449,0.1936,141.3477,16.9663
4.21E+11,1,7755.5,3.1431,2.4795,0.1919,141.911,17.1831
4.21E+11,1,7756,3.1978,2.4954,0.1902,143.4267,15.3611
4.21E+11,1,7756.5,3.2087,2.4862,0.1972,141.249,14.3397
4.21E+11,1,7757,3.1742,2.4695,0.2054,141.366,12.1052
4.21E+11,1,7757.5,3.2102,2.4698,0.2106,138.0365,12.2574
4.21E+11,1,7758,3.3905,2.5101,0.2114,130.6097,14.8775
4.21E+11,1,7758.5,3.6602,2.5808,0.1864,114.02,19.169
4.21E+11,1,7760,3.6751,2.6085,0.1319,106.675,26.9031
