Depth,Corr_por,TOC,Quartz,Calcite,Dolomite,Illite,Smectite,Kaolinite,Chlorite,Mixed_Clays,Albite,Siderite,Apatite,Aragonite,Clays,Carbonate,GR,RHOB,RHOBE_Norm,TNPH
6601.4,6.08,4.5,59.2,0,4.7,17.4,0,0,0,0,5.2,7,5.3,1,17.4,12.6,132.58,2.46,2.45,15.5
6604,4.1,1.79,9.3,6.3,41.2,14.2,0,0,0,8.9,7.8,9.2,1.2,0,23.1,56.7,162.71,2.45,2.44,17.6
6606,4.74,3.79,26,0,0,35.6,0,0,0,21.8,10.4,3.1,0,0,57.4,3.1,331.41,2.54,2.53,20.7
6608.7,6,4.06,43.8,0,0,26,0,0,0,16.9,5.9,3.5,0,0.5,42.9,4,111.18,2.72,2.71,11.4
6611,3.4,3.66,38.6,0,0,25.3,0,0,0,21,6,4.5,1.5,0.2,46.3,4.7,155.86,2.53,2.52,18.9
6613.2,5.1,2.82,9.7,2.8,4.5,34,0,0,0,0,2.1,0,1,0,34,7.4,151.32,2.5,2.5,17.6
6615.1,4.39,3.72,37,0,1.7,26.6,0,0,0,15.4,8.9,6.2,1.1,0,42,7.8,146.9,2.54,2.53,17.4
6617,4.8,4.61,35,0,0,26.7,0,0,0,23,7.9,4,1,0.5,49.7,4.5,152.06,2.55,2.54,19.8
6619,3.54,5.35,34.5,8.7,5.3,18.8,0,0,0,0,8,9.7,11.6,0,18.8,23.7,157.92,2.54,2.54,18.9
6621,3.22,4.27,34.1,0,0,27.6,0,0,0,8.3,10.9,2.8,15.1,0,35.9,2.8,152.82,2.53,2.52,20.4
6623.2,4.98,4,26.5,0,0,29.2,0,0,0,24.9,8,5,2.9,0,54.1,5,162.08,2.53,2.52,19.6
6627.5,4.06,6.23,30.4,0,0,21.3,0,0,0.8,24,10.5,4.5,8.5,0,46.1,4.5,152.3,2.6,2.6,16.4
6629.3,4.4,4.64,34,0,0,31.6,0,0,0,20.1,7.7,4.5,0,0.3,51.7,4.8,184.33,2.54,2.54,20.8
6631.1,3.97,5.41,33.6,0,0,26.5,0,0,0,23,7.5,5.7,0.5,0.8,49.5,6.5,168.91,2.54,2.53,20.8
6633.3,3.17,1.98,19.1,44,11.7,7.3,0,0,0.4,0,2.6,7,0.5,0,7.6,62.7,190.74,2.52,2.51,23.1
6635.2,4.63,4.62,35.7,0,0,23.1,0,0,0,25.5,7.9,5.5,0,0,48.5,5.5,156.51,2.52,2.51,20.9
6637.1,4.73,5.55,39.5,0,0,23.6,0,0,0,19.3,7.7,4.5,2,0.3,42.9,4.8,149.75,2.52,2.52,20.2
6639.8,4.23,3.43,36.1,0,1.9,26.8,0,0,0,14.9,6.6,6.7,1.2,0,41.6,8.6,132.88,2.53,2.52,16.8
6641.7,8.05,3.48,26.5,0,0,22.5,0,0,0,30.4,7.3,4.9,0,0,52.9,4.9,147.5,2.49,2.49,18.9
6643.9,4.64,4.85,23.7,0,0,35.1,0,0,0,14.2,13.9,2.3,5.8,0,49.3,2.3,151.11,2.53,2.52,18.9
6645.9,5.04,4.94,28.5,0,0,35.4,0,0,0,21,7.4,4.1,0,0,56.4,4.1,147.85,2.49,2.48,19
6647.8,4.47,4.99,28.2,0,0,36.2,0,0,0,20.3,8.6,5,1.1,0,56.5,5,161.73,2.55,2.54,19.5
6650,4.61,5.09,28.1,0,0,39.1,0,0,0,18.6,6.5,3.7,0,0,57.7,3.7,151.65,2.57,2.57,19
6652,4.01,4.92,33.2,0,0,40,0,0,0,8.7,6.1,5.2,2.9,0,48.7,5.2,164.71,2.52,2.52,19.9
6654,3.77,4.42,33.2,0,0.3,33,0,0,0.1,19.4,3.2,4.8,0,0,52.6,5.1,160.81,2.53,2.52,22.8
6657.7,3.38,6.76,31.1,0,0,26.2,0,0,0,26.5,10,5.4,0.6,0,52.6,5.4,152.37,2.53,2.52,19.4
6660,3.01,5.86,32.6,0,0,23.7,0,0,0,28.6,5.2,6.9,0,0,52.4,6.9,159.83,2.54,2.53,19.9
6662,3.58,5.49,30.8,0.2,11.5,30.7,0,0,0.1,12.1,5.6,5.8,2.6,0,42.9,17.5,149.12,2.56,2.56,18.7
6665.6,3.99,6.81,46.3,0,0,26.4,0,0,0,10.8,4.9,7.8,2,0.6,37.2,8.4,146.25,2.58,2.57,19.2
6667.6,5.43,3.67,37.8,0,8,20.5,0,0,0,21.1,1.3,7.8,0,0,41.6,15.8,157.81,2.51,2.51,19.7
6669.1,4.38,3.9,24.5,0,13.2,24.3,0,0,0,22.2,6.9,6.8,0,0,46.4,20,160.2,2.48,2.48,18.6
6669.7,2.05,6.77,20.1,0,0,32.9,0,0,0,27.5,7.8,5.1,0,0,60.4,5.1,162.89,2.48,2.48,19.7
6671.7,4.82,5.83,40.4,0,0,29.8,0,0,0,15.9,5.3,5.7,0,0.1,45.8,5.8,152.02,2.51,2.51,18.2
6673.8,4.13,6.69,42.1,0,0,31,0,0,1,9.6,5.4,6.3,0,0.8,41.6,7.1,162.47,2.51,2.5,19
6675.6,4.51,5.86,32.1,0,0,31.1,0,0,0,23.9,6.2,5.1,0,0.6,55,5.8,164.38,2.46,2.46,19.7
6678.7,3.96,7.48,29.7,0,0,35.9,0,0,0,23.3,2.9,4.5,0,0,59.1,4.5,171.12,2.49,2.48,21
6680,3.42,7.21,26.7,0,0,28,0,0,2.6,25.8,8.4,6,1.1,0.3,56.4,6.3,172.78,2.5,2.49,21.2
6682,3.77,5.71,37.9,0,0,26.4,0,0,0,22.5,3.8,5.3,0,0.1,48.9,5.4,191.93,2.48,2.47,21.4
6684,4.48,4.72,34.8,0,0,30.5,0,0,0,18.9,2.6,4.5,1.6,0,49.4,4.5,190.97,2.5,2.5,22.4
